cell_type,z,y,x,size
Cell type 1,15.39085488079407,248.61524983436763,192.26749789012138,67.0
Cell type 1,14.676779590042468,364.29418406572916,377.18448108817427,66.0
Cell type 1,15.15320952099478,152.62172288886376,386.30377837716617,67.0
Cell type 1,16.217388822026468,268.9801161642868,558.0425052886199,61.0
